'id','name','brand_id'
(658,'FREESTYLE',35),
(659,'FUSION',35),
(660,'GALAXY',35),
(661,'GRANADA',35),
(662,'GRAND C-MAX',35),
(663,'GT',35),
(664,'KA',35),
(665,'KA+',35),
(666,'KUGA',35),
(667,'MAVERICK',35),
(668,'MERCURY',35),
(669,'MONDEO',35),
(670,'MUSTANG',35),
(671,'MUSTANG MACH-E',35),
(672,'ORION',35),
(673,'PROBE',35),
(674,'PUMA',35),
(675,'RANCHERO',35),
(676,'RANGER',35),
(677,'RANGER RAPTOR',35),
(678,'S-MAX',35),
(679,'SCORPIO',35),
(680,'SIERRA',35),
(681,'STREETKA',35),
(682,'TAUNUS',35),
(683,'TAURUS',35),
(684,'TEMPO',35),
(685,'THUNDERBIRD',35),
(686,'TOURNEO CONNECT',35),
(687,'TOURNEO CONNECT GRAND',35),
(688,'TOURNEO COURIER',35),
(689,'TOURNEO CUSTOM',35),
(690,'TRANSIT',35),
(691,'TRANSIT CONNECT',35),
(692,'TRANSIT COURIER',35),
(693,'TRANSIT CUSTOM',35),
(694,'WINDSTAR',35),
(695,'INNY',35),
(696,'67',36),
(697,'69',36),
(698,'INNY',36),
(699,'AZKARRA',37),
(700,'CK',37),
(701,'COOLRAY',37),
(702,'EMGRAND',37),
(703,'GEOMETRY C',37),
(704,'MONJARO',37),
(705,'NEW COOLRAY',37),
(706,'OKAVANGO',37),
(707,'TUGELLA',37),
(708,'INNY',37),
(709,'ELECTRIFIED G80',38),
(710,'ELECTRIFIED GV70',38),
(711,'G70',38),
(712,'G80',38),
(713,'G90',38),
(714,'GV60',38),
(715,'GV70',38),
(716,'GV80',38),
(717,'INNY',38),
(718,'ACADIA',39),
(719,'ENVOY',39),
(720,'SAFARI',39),
(721,'SAVANA',39),
(722,'SIERRA',39),
(723,'SONOMA',39),
(724,'SYCLONE',39),
(725,'TERRAIN',39),
(726,'TYPHOON',39),
(727,'VANDURA',39),
(728,'YUKON',39),
(729,'INNY',39),
(730,'ALTUL',40),
(731,'COWRY',40),
(732,'HAVAL H5',40),
(733,'HOVER',40),
(734,'STEED',40),
(735,'VOLEEX',40),
(736,'INNY',40),
(737,'ACCORD',41),
(738,'AERODECK',41),
(739,'CITY',41),
(740,'CIVIC',41),
(741,'CONCERTO',41),
(742,'CR-V',41),
(743,'CR-Z',41),
(744,'CRX',41),
(745,'E',41),
(746,'E:NP1',41),
(747,'E:NSP1',41),
(748,'E:NY1',41),
(749,'ELEMENT',41),
(750,'FR-V',41),
(751,'HR-V',41),
(752,'INSIGHT',41),
(753,'INTEGRA',41),
(754,'JAZZ',41),
(755,'LEGEND',41),
(756,'LOGO',41),
(757,'NSX',41),
(758,'ODYSSEY',41),
(759,'PILOT',41),
(760,'PRELUDE',41),
(761,'RIDGELINE',41),
(762,'S 2000',41),
(763,'SHUTTLE',41),
(764,'STREAM',41),
(765,'ZR-V',41),
(766,'INNY',41),
(767,'E-HS9',42),
(768,'H5',42),
(769,'H7',42),
(770,'H9',42),
(771,'HS5',42),
(772,'HS7',42),
(773,'INNY',42),
(774,'H1',43),
(775,'H2',43),
(776,'H3',43),
(777,'INNY',43),
(778,'ACCENT',44),
(779,'ATOS',44),
(780,'AVANTE',44),
(781,'AZERA',44),
(782,'BAYON',44),
(783,'COUPE',44),
(784,'ELANTRA',44),
(785,'EQUUS',44),
(786,'EXCEL',44),
(787,'GALLOPER',44),
(788,'GENESIS',44),
(789,'GENESIS COUPE',44),
(790,'GETZ',44),
(791,'GRANDEUR',44),
(792,'GRAND SANTA FE',44),
(793,'H-1',44),
(794,'H-1 STAREX',44),
(795,'H200',44),
(796,'H350',44),
(797,'I10',44),
(798,'I20',44),
(799,'I25',44),
(800,'I30',44),
(801,'I30 N',44),
(802,'I40',44),
(803,'IONIQ',44),
(804,'IONIQ 5',44),
(805,'IONIQ 6',44),
(806,'IX20',44),
(807,'IX35',44),
(808,'IX55',44),
(809,'KONA',44),
(810,'LANTRA',44),
(811,'MATRIX',44),
(812,'PALISADE',44),
(813,'PONY',44),
(814,'S-COUPE',44),
(815,'SANTA FE',44),
(816,'SANTAMO',44),
(817,'SONATA',44),
(818,'SONICA',44),
(819,'TERRACAN',44),
(820,'TRAJET',44),
(821,'TUCSON',44),
(822,'VELOSTER',44),
(823,'VERACRUZ',44),
(824,'XG 30',44),
(825,'XG 350',44),
(826,'INNY',44),
(827,'GRENADIER',45),
(828,'QUARTERMASTER',45),
(829,'INNY',45),
(830,'CAMPO',46),
(831,'D-MAX',46),
(832,'GEMINI',46),
(833,'MIDI',46),
(834,'PICK UP',46),
(835,'TROOPER',46),
(836,'INNY',46),
(837,'DAILY',47),
(838,'MASSIF',47),
(839,'INNY',47),
(840,'DAIMLER',48),
(841,'E-PACE',48),
(842,'E-TYPE',48),
(843,'F-PACE',48),
(844,'F-TYPE',48),
(845,'I-PACE',48),
(846,'MK II',48),
(847,'S-TYPE',48),
(848,'X-TYPE',48),
(849,'XE',48),
(850,'XF',48),
(851,'XJ',48),
(852,'XJR',48),
(853,'XJS',48),
(854,'XK',48),
(855,'XK8',48),
(856,'INNY',48),
(857,'AVENGER',49),
(858,'CHEROKEE',49),
(859,'CJ',49),
(860,'COMANCHE',49),
(861,'COMMANDER',49),
(862,'COMPASS',49),
(863,'GLADIATOR',49),
(864,'GRAND CHEROKEE',49),
(865,'LIBERTY',49),
(866,'PATRIOT',49),
(867,'RENEGADE',49),
(868,'WAGONEER',49),
(869,'WILLYS',49),
(870,'WRANGLER',49),
(871,'INNY',49),
(872,'ASIA ROCSTA',50),
(873,'BESTA',50),
(874,'CADENZA',50),
(875,'CARENS',50),
(876,'CARNIVAL',50),
(877,'CEED',50),
(878,'CERATO',50),
(879,'CLARUS',50),
(880,'ELAN',50),
(881,'EV6',50),
(882,'EV9',50),
(883,'JOICE',50),
(884,'LEO',50),
(885,'MAGENTIS',50),
(886,'MENTOR',50),
(887,'NIRO',50),
(888,'OPIRUS',50),
(889,'OPTIMA',50),
(890,'PICANTO',50),
(891,'PREGIO',50),
(892,'PRIDE',50),
(893,'PRO_CEE'D',50),
(894,'RETONA',50),
(895,'RIO',50),
(896,'ROADSTER',50),
(897,'ROCSTA',50),
(898,'SEDONA',50),
(899,'SEPHIA',50),
(900,'SHUMA',50),
(901,'SORENTO',50),
(902,'SOUL',50),
(903,'SPECTRA',50),
(904,'SPORTAGE',50),
(905,'STINGER',50),
(906,'STONIC',50),
(907,'VENGA',50),
(908,'XCEED',50),
(909,'INNY',50),
(910,'X-BOW',51),
(911,'INNY',51),
(912,'110',52),
(913,'111',52),
(914,'112',52),
(915,'1117',52),
(916,'1118',52),
(917,'1119',52),
(918,'1200',52),
(919,'1300',52),
(920,'1500',52),
(921,'2101',52),
(922,'2103',52),
(923,'2104',52),
(924,'2105',52),
(925,'2106',52),
(926,'2107',52),
(927,'2108',52),
(928,'2109',52),
(929,'2110',52),
(930,'2111',52),
(931,'2112',52),
(932,'2170',52),
(933,'ALEKO',52),
(934,'FORMA',52),
(935,'GRANTA',52),
(936,'KALINA',52),
(937,'NIVA',52),
(938,'NOVA',52),
(939,'PRIORA',52),
(940,'SAMARA',52),
(941,'INNY',52),
(942,'AVENTADOR',53),
(943,'COUNTACH',53),
(944,'DIABLO',53),
(945,'ESPADA',53),
(946,'GALLARDO',53),
(947,'HURACAN',53),
(948,'JALPA',53),
(949,'LM',53),
(950,'MIURA',53),
(951,'MURCIELAGO',53),
(952,'URRACO',53),
(953,'URUS',53),
(954,'INNY',53),
(955,'BETA',54),
(956,'DEDRA',54),
(957,'DELTA',54),
(958,'FLAMINA',54),
(959,'FULVIA',54),
(960,'GAMMA',54),
(961,'KAPPA',54),
(962,'LYBRA',54),
(963,'MUSA',54),
(964,'PHEDRA',54),
(965,'PRISMA',54),
(966,'STRATOS',54),
(967,'THEMA',54),
(968,'THESIS',54),
(969,'VOYAGER',54),
(970,'YPSILON',54),
(971,'ZETA',54),
(972,'INNY',54),
(973,'CT',55),
(974,'ES',55),
(975,'GS',55),
(976,'GX',55),
(977,'HS 250H',55),
(978,'IS',55),
(979,'LBX',55),
(980,'LC',55),
(981,'LFA',55),
(982,'LM',55),
(983,'LS',55),
(984,'LX',55),
(985,'NX',55),
(986,'RC',55),
(987,'RX',55),
(988,'RZ',55),
(989,'SC',55),
(990,'UX',55),
(991,'INNY',55),
(992,'ALTUL',56),
(993,'AMBRA',56),
(994,'BE-TWO',56),
(995,'BE-UP',56),
(996,'IXO',56),
(997,'JS49',56),
(998,'JS50',56),
(999,'JS50L',56),
(1000,'JS60',56),
(1001,'JS RC',56),
(1002,'NOVA',56),
(1003,'OPTIMA',56),
(1004,'X-TOO',56),
(1005,'X-TOO MAX',56),
(1006,'X-TOO R',56),
(1007,'X-TOO RS',56),
(1008,'X-TOO S',56),
(1009,'INNY',56),
(1010,'AVIATOR',57),
(1011,'CONTINENTAL',57),
(1012,'LS',57),
(1013,'MARK',57),
(1014,'MARK LT',57),
(1015,'MKX',57),
(1016,'MKZ',57),
(1017,'NAVIGATOR',57),
(1018,'TOWN CAR',57),
(1019,'INNY',57),
(1020,'340R',58),
(1021,'CORTINA',58),
(1022,'ELAN',58),
(1023,'ELISE',58),
(1024,'ELITE',58),
(1025,'ESPRIT',58),
(1026,'EUROPA',58),
(1027,'EVORA',58),
(1028,'EXCEL',58),
(1029,'EXIGE',58),
(1030,'SUPER SEVEN',58),
(1031,'V8',58),
(1032,'INNY',58),
(1033,'TGE',59),
(1034,'INNY',59),
(1035,'224',60),
(1036,'3200',60),
(1037,'BITURBO',60),
(1038,'COUPE',60),
(1039,'GHIBLI',60),
(1040,'GRANCABRIO',60),
(1041,'GRANSPORT',60),
(1042,'GRANTURISMO',60),
(1043,'GRECALE',60),
(1044,'LEVANTE',60),
(1045,'MC20',60),
(1046,'MC20 CIELO',60),
(1047,'MERAK',60),
(1048,'QUATTROPORTE',60),
(1049,'SHAMAL',60),
(1050,'SPYDER',60),
(1051,'INNY',60),
(1052,'ET90',61),
(1053,'EUNIQ 5',61),
(1054,'EUNIQ 6',61),
(1055,'MIFA 9',61),
(1056,'INNY',61),
(1057,'57',62),
(1058,'62',62),
(1059,'INNY',62),
(1060,'2',63),
(1061,'3',63),
(1062,'5',63),
(1063,'6',63),
(1064,'121',63),
(1065,'323',63),
(1066,'323F',63),
(1067,'626',63),
(1068,'929',63),
(1069,'BONGO',63),
(1070,'BT-50',63),
(1071,'CX-3',63),
(1072,'CX-5',63),
(1073,'CX-7',63),
(1074,'CX-9',63),
(1075,'CX-30',63),
(1076,'CX-60',63),
(1077,'DEMIO',63),
(1078,'MILLENIA',63),
(1079,'MPV',63),
(1080,'MX-3',63),
(1081,'MX-5',63),
(1082,'MX-6',63),
(1083,'MX-30',63),
(1084,'PREMACY',63),
(1085,'PROTEGE',63),
(1086,'RX-6',63),
(1087,'RX-7',63),
(1088,'RX-8',63),
(1089,'SERIA B',63),
(1090,'SERIA E',63),
(1091,'TRIBUTE',63),
(1092,'XEDOS',63),
(1093,'INNY',63),
(1094,'570 GT',64),
(1095,'570S COUPE',64),
(1096,'600LT COUPE',64),
(1097,'600LT SPIDER',64),
(1098,'650S',64),
(1099,'675LT',64),
(1100,'720S COUPE',64),
(1101,'720S SPIDER',64),
(1102,'765LT SPIDER',64),
(1103,'ALTUL',64),
(1104,'ARTURA',64),
(1105,'GT',64),
(1106,'MP4-12C',64),
(1107,'INNY',64),
(1108,'280',65),
(1109,'AMG GT',65),
(1110,'CITAN',65),
